company_domain,company_id,product_id,product_title,min_current_price,max_current_price,avg_current_price,avg_full_price,avg_discount,sales_volume,sales_volume_upper_bound,sales_volume_lower_bound,sales_revenue,sales_revenue_upper_bound,sales_revenue_lower_bound,rate_sold,sell_through_rate,review_count,avg_rating,key_phrases,colors,matched_variant_count,total_variant_count,product_first_seen,product_url,image_url,x27,source_file,sell_through_pct,avg_disoucnt_pct,revenue_fmt,extracted_color,primary_color,is_combo_color,particl_color_tag,tone_group,release_month,release_year,release_season,price_tier,category
www.aloyoga.com,1004856,7850755621044,Accolade 1/4 Zip Pullover - Black,148,148,148,148,0,48782,55622,41942,7219736,8232056,6207416,1742.214286,0.286185,0,NA,Oversized fit | Warm fabric | Comfy casual style | Stylish design | Color variety,Black,7,7,2024-12-08,https://www.aloyoga.com/products/u3040rg-accolade-1-4-zip-pullover-black,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/7850755621044_20260115.png,NA,BlackALO.csv,28.62,0,"$7,219,736",Black,Black,FALSE,Black,Dark Neutrals,12,2024,Winter,Premium ($100+),Other
www.aloyoga.com,1004856,7486532026548,Suit Up Trouser (Regular) - Black,148,148,148,148,0,44372,52009,36735,6567056,7697243.2,5436868.8,1584.714286,0.145906,0,NA,lightweight design | comfortable fabric | great fit | noise when walking | perfect for work,Black,5,5,2024-05-31,https://www.aloyoga.com/products/w51432r-suit-up-trouser-black,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/7486532026548_20260115.png,NA,BlackALO.csv,14.59,0,"$6,567,056",Black,Black,FALSE,Black,Dark Neutrals,5,2024,Spring,Premium ($100+),Pants
www.aloyoga.com,1004856,7851460755636,Accolade Full Zip Hoodie - Black,148,148,148,148,0,35566,41549,29583,5263768,6149192.8,4378343.2,1270.214286,0.0861,0,NA,NA,Black,7,7,2024-12-29,https://www.aloyoga.com/products/u3041rg-accolade-full-zip-hoodie-black-mens,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/7851460755636_20260218.png,NA,BlackALO.csv,8.61,0,"$5,263,768",Black,Black,FALSE,Black,Dark Neutrals,12,2024,Winter,Premium ($100+),Outerwear
www.aloyoga.com,1004856,7325031694516,Accolade Straight Leg Sweatpant - Black,138,138,138,138,0,35802,41082,30522,4940676,5669316,4212036,1278.642857,0.084491,0,NA,Fun style | Love the material | Best sweats | Peeling issue | Beautiful but runs big,Black,7,7,2023-01-18,https://www.aloyoga.com/products/u5012rg-accolade-straight-leg-sweatpant-black,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/7325031694516_20260115.png,NA,BlackALO.csv,8.45,0,"$4,940,676",Black,Black,FALSE,Black,Dark Neutrals,1,2023,Winter,Premium ($100+),Pants
www.aloyoga.com,1004856,7325031202996,Accolade Crew Neck Pullover - Black,138,138,138,138,0,31326,36733,25919,4322988,5069126.4,3576849.6,1118.785714,0.06852,0,NA,Great fit | Pure comfort | Soft and cozy | Beautiful look | Oversized and cute,Black,7,7,2023-03-11,https://www.aloyoga.com/products/u3031rg-accolade-crew-neck-pullover-black,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/7325031202996_20260115.png,NA,BlackALO.csv,6.85,0,"$4,322,988",Black,Black,FALSE,Black,Dark Neutrals,3,2023,Spring,Premium ($100+),Other
www.aloyoga.com,1004856,6239925862580,Accolade Sweatpant - Black,138,138,138,138,0,23574,27347,19801,3253212,3773775.6,2732648.4,841.928571,0.067444,0,NA,Comfortable fit | Soft material | New favorite | Stunning | Cozy and oversized,Black,7,7,2021-03-14,https://www.aloyoga.com/products/w5942rg-accolade-sweatpant-black,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/6239925862580_20260115.png,NA,BlackALO.csv,6.74,0,"$3,253,212",Black,Black,FALSE,Black,Dark Neutrals,3,2021,Spring,Premium ($100+),Pants
www.aloyoga.com,1004856,6565729206452,Match Point Tennis Skirt - Black,78,78,78,78,0,26542,30090,22994,2070276,2347012.2,1793539.8,947.928571,0.065189,0,NA,Amazing athletic skirt | Super comfortable | Favorite | True to size | Beautiful and functional,Black,5,5,2021-04-13,https://www.aloyoga.com/products/w6240r-match-point-tennis-skirt-black,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/6565729206452_20260228.png,NA,BlackALO.csv,6.52,0,"$2,070,276",Black,Black,FALSE,Black,Dark Neutrals,4,2021,Spring,Mid ($60-$100),Dress & Skirts
www.aloyoga.com,1004856,6618162626740,Accolade Hoodie - Black,148,148,148,148,0,13464,16258,10670,1992672,2406065.6,1579278.4,480.857143,0.046302,0,NA,Misleading size | Poor fabric quality | Flimsy and short | Great fit but short length | Logo comes off when washed,Black,6,6,2021-05-23,https://www.aloyoga.com/products/w3550rg-accolade-hoodie-black-mens,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/6618162626740_20260115.png,NA,BlackALO.csv,4.63,0,"$1,992,672",Black,Black,FALSE,Black,Dark Neutrals,5,2021,Spring,Premium ($100+),Outerwear
www.aloyoga.com,1004856,7666310381748,Suit Up Trouser (Long) - Black,148,148,148,148,0,12954,14461,11447,1917192,2140168.8,1694215.2,462.642857,0.091666,0,NA,Perfect fit | Comfortable and versatile | Long inseam | Quality material | Great for dressing up,Black,5,5,2024-05-17,https://www.aloyoga.com/products/w54187r-suit-up-trouser-long-black,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/7666310381748_20260115.png,NA,BlackALO.csv,9.17,0,"$1,917,192",Black,Black,FALSE,Black,Dark Neutrals,5,2024,Spring,Premium ($100+),Pants
www.aloyoga.com,1004856,7850762010804,Cropped Accolade Crewneck - Black,128,128,128,128,0,14382,16789,11975,1840896,2148940.8,1532851.2,513.642857,0.1026,0,NA,Pretty color | Comfortable fit | Flattering design | Cozy material | Great for layering,Black,5,5,2024-11-04,https://www.aloyoga.com/products/w3924rg-cropped-accolade-crewneck-black,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/7850762010804_20260115.png,NA,BlackALO.csv,10.26,0,"$1,840,896",Black,Black,FALSE,Black,Dark Neutrals,11,2024,Fall,Premium ($100+),Other
